thomas_num,thomas_name,icpsr,congress,year,st_name,cd,dem,majority,elected,female,votepct,dwnom1,deleg_size,speaker,chair,subchr,power,budget,seniority,maj_leader,min_leader,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,les
"Numeric counter for order in THOMAS data, starting with 93rd Congress","Legislator name, as given in THOMAS","ICPSR number, according to Poole and Rosenthal",Congress number,Year at start of Congress,Two-letter state code,Congressional district number,1 = Democrat,1 = majority party member,Year first elected to House,1 = female,Percent vote received to enter this Congress,First-dimension DW-NOMINATE score,Size of House delegation from member's state,1= Speaker,1 = Committee Chair,1 = Subcommittee Chair,"1 = Member of Appropriation, Rules, or Ways and Means",1 = Member of Budget,"Seniority, number of terms served counting current",1 = Majority party leadership,1 = Minority party leadership,Number of substantive and significant bills sponsored,Number of substantive and significant bills with action in committee,Number of substantive and significant bills with action beyond committee,Number of substantive and significant bills passed House,Number of substantive and significant bills became law,Number of substantive bills sponsored,Number of substantive bills with action in committee,Number of substantive bills with action beyond committee,Number of substantive bills passed House,Number of substantive bills became law,Number of commemorative bills sponsored,Number of commemorative bills with action in committee,Number of commemorative bills with action beyond committee,Number of commemorative bills passed House,Number of commemorative bills became law,Legislative Effectiveness Score (1-5-10)
8079,"Capito, Shelley",20146,111,2009,WV,2,0,0,2000,1,57,0.456,3,0,0,0,0,0,5,0,0,0,0,0,0,0,15,0,1,1,0,0,0,0,0,0,0.441536337
8080,"Capps, Lois",29774,111,2009,CA,23,1,1,1998,1,68,-0.430999994,53,0,0,0,0,0,6,0,0,0,0,0,0,0,30,5,6,6,0,0,0,0,0,0,2.388654232
8081,"Capuano, Michael",29919,111,2009,MA,8,1,1,1998,0,99,-0.566999972,10,0,0,1,0,0,6,1,0,0,0,0,0,0,13,1,1,0,0,1,1,1,1,1,0.551379383
8082,"Cardoza, Dennis",20306,111,2009,CA,18,1,1,2002,0,100,-0.230000004,53,0,0,1,1,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0.167467818
8083,"Carnahan, Russ",20516,111,2009,MO,3,1,1,2004,0,66,-0.319000006,9,0,0,0,0,0,3,0,0,0,0,0,0,0,17,1,1,0,0,0,0,0,0,0,0.457179338
8084,"Carney, Christopher",20746,111,2009,PA,10,1,1,2006,0,56,-0.119999997,19,0,0,1,0,0,2,0,0,0,0,0,0,0,11,0,1,1,0,1,0,1,1,1,0.512665391
8085,"Carson, Andre",20757,111,2009,IN,7,1,1,2008,0,65,-0.395000011,9,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0.131183133
8086,"Carter, John",20356,111,2009,TX,31,0,0,2002,0,60,0.57099998,32,0,0,0,1,0,4,0,1,0,0,0,0,0,10,1,0,0,0,2,1,1,1,1,0.407725334
8087,"Cassidy, Bill",20919,111,2009,LA,6,0,0,2008,0,48,0.713999987,7,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.083733909
8088,"Castle, Michael",29327,111,2009,DE,1,0,0,1992,0,61,0.606000006,1,0,0,0,0,0,9,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0.265157402
8089,"Castor, Kathy",20708,111,2009,FL,11,1,1,2006,1,72,-0.395999998,25,0,0,0,0,0,2,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0.227000251
8090,"Chaffetz, Jason",20949,111,2009,UT,3,0,0,2008,0,66,0.963,3,0,0,0,0,0,1,0,0,0,0,0,0,0,20,1,1,1,0,1,1,1,1,1,0.776692331
8091,"Chandler, Ben",20326,111,2009,KY,6,1,1,2004,0,65,-0.187999994,6,0,0,0,1,0,3,0,0,0,0,0,0,0,4,1,1,1,0,1,1,1,1,0,0.475681663
8092,"Childers, Travis",20761,111,2009,MS,1,1,1,2008,0,54,0.013,4,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0.111645214
8093,"Christensen, Donna",,111,2009,VI,,1,1,1996,1,100,,1,0,0,0,0,0,7,0,0,0,0,0,0,0,17,1,2,2,1,0,0,0,0,0,1.205605268
8094,"Chu, Judy",20955,111,2009,CA,32,1,1,2009,1,62,-0.501999974,53,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0.111645214
8095,"Clarke, Yvette",20733,111,2009,NY,11,1,1,2006,1,93,-0.586000025,29,0,0,1,0,0,2,0,0,0,0,0,0,0,12,1,2,2,0,0,0,0,0,0,0.747226
8096,"Clay, Wm.",20147,111,2009,MO,1,1,1,2000,0,87,-0.518999994,9,0,0,1,0,0,5,0,0,0,0,0,0,0,13,5,6,4,0,2,1,2,2,2,2.173135757
8097,"Cleaver, Emanuel",20517,111,2009,MO,5,1,1,2004,0,64,-0.432000011,9,0,0,0,0,0,3,0,0,0,0,0,0,0,7,1,2,2,0,0,0,0,0,0,0.677447736
8098,"Clyburn, James",39301,111,2009,SC,6,1,1,1992,0,67,-0.414999992,6,0,0,0,0,0,9,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0.389423549
8099,"Coble, Howard",15092,111,2009,NC,6,0,0,1984,0,67,0.762000024,13,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.041866954
8100,"Coffman, Mike",20906,111,2009,CO,6,0,0,2008,0,61,0.765999973,7,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,1,1,0,0,0,0,0,0,0.459201813
8101,"Cohen, Steve",20748,111,2009,TN,9,1,1,2006,0,88,-0.411000013,9,0,0,1,0,0,2,0,0,0,0,0,0,0,35,5,4,4,1,1,0,0,0,0,2.385421515
8102,"Cole, Tom",20344,111,2009,OK,4,0,0,2002,0,66,0.5,5,0,0,0,1,0,4,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0.254911572
8103,"Conaway, K.",20531,111,2009,TX,11,0,0,2004,0,88,0.709999979,32,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0.100480698
8104,"Connolly, Gerald",20952,111,2009,VA,11,1,1,2008,0,55,-0.270000011,11,0,0,0,0,1,1,0,0,0,0,0,0,0,25,2,1,1,0,0,0,0,0,0,0.811802924
8105,"Conyers, John",10713,111,2009,MI,14,1,1,1964,0,92,-0.614000022,15,0,1,0,0,0,23,0,0,2,1,2,1,0,44,15,12,7,4,2,0,0,0,0,7.012754917
8106,"Cooper, Jim",15019,111,2009,TN,5,1,1,2002,0,66,-0.224999994,9,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0.069778264
8107,"Costa, Jim",20501,111,2009,CA,20,1,1,2004,0,74,-0.192000002,53,0,0,1,0,0,3,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0.240955904
8108,"Costello, Jerry",15453,111,2009,IL,12,1,1,1988,0,100,-0.391000003,19,0,0,1,0,0,11,0,0,0,0,0,0,0,6,2,3,3,2,0,0,0,0,0,1.788250804
8109,"Courtney, Joe",20706,111,2009,CT,2,1,1,2006,0,66,-0.344999999,5,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0.18142347
8110,"Crenshaw, Ander",20111,111,2009,FL,4,0,0,2000,0,65,0.51700002,25,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0.163978308
8111,"Critz, Mark",20960,111,2009,PA,12,1,1,2010,0,53,-0.277999997,19,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,2,2,2,2,2,0.355867922
8112,"Crowley, Joseph",29925,111,2009,NY,7,1,1,1998,0,85,-0.405000001,29,0,0,0,1,0,6,1,0,0,0,0,0,0,22,0,1,1,1,4,1,2,2,1,1.132663369
8113,"Cuellar, Henry",20533,111,2009,TX,28,1,1,2004,0,69,-0.192000002,32,0,0,1,0,0,3,0,0,0,0,0,0,0,13,3,2,2,2,3,2,2,2,1,1.994210005
8114,"Culberson, John",20139,111,2009,TX,7,0,0,2000,0,56,0.600000024,32,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.013955652
8115,"Cummings, Elijah",29587,111,2009,MD,7,1,1,1996,0,80,-0.421000004,8,0,0,1,0,0,7,0,0,0,0,0,0,0,14,4,4,4,0,1,1,1,1,1,1.735628247
8116,"Dahlkemper, Kathleen",20945,111,2009,PA,3,1,1,2008,1,51,-0.179000005,19,0,0,1,0,0,1,0,0,0,0,0,0,0,17,2,3,3,1,0,0,0,0,0,1.55316186
8117,"Davis, Artur",20302,111,2009,AL,7,1,1,2002,0,99,-0.238000005,7,0,0,0,1,0,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0.195379123
8118,"Davis, Danny",29717,111,2009,IL,7,1,1,1996,0,85,-0.48300001,19,0,0,0,1,0,7,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0.267948508
8119,"Davis, Geoff",20511,111,2009,KY,4,0,0,2004,0,63,0.538999975,6,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.027911304
8120,"Davis, Lincoln",20350,111,2009,TN,4,1,1,2002,0,59,-0.177000001,9,0,0,0,1,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0.069778264
8121,"Davis, Susan",20108,111,2009,CA,53,1,1,2000,1,68,-0.31099999,53,0,0,1,0,0,5,0,0,0,0,0,0,0,23,4,4,2,0,1,0,0,0,0,1.458750844
8122,"DeFazio, Peter",15410,111,2009,OR,4,1,1,1986,0,82,-0.533999979,5,0,0,1,0,0,12,0,0,0,0,0,0,0,24,5,5,3,0,0,0,0,0,0,1.817471981
8123,"DeGette, Diana",29710,111,2009,CO,1,1,1,1996,1,72,-0.407999992,7,0,0,0,0,0,7,1,0,0,0,0,0,0,20,4,3,3,0,1,0,0,0,0,1.439929008
8124,"DeLauro, Rosa",29109,111,2009,CT,3,1,1,1990,1,77,-0.439999998,5,0,0,1,1,0,10,1,0,2,1,2,2,1,26,3,2,2,1,0,0,0,0,0,3.554457188
8125,"Deal, Nathan",99342,111,2009,GA,9,0,0,1992,0,76,0.847000003,13,0,0,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.139556527
8126,"Delahunt, Bill",29731,111,2009,MA,10,1,1,1996,0,99,-0.477999985,10,0,0,1,0,0,7,0,0,0,0,0,0,0,20,2,2,2,1,0,0,0,0,0,1.362827301
8127,"Dent, Charles",20526,111,2009,PA,15,0,0,2004,0,59,0.448000014,19,0,0,0,0,0,3,0,0,0,0,0,0,0,15,1,1,1,0,0,0,0,0,0,0.556891382
8128,"Deutch, Theodore",20959,111,2009,FL,19,1,1,2010,0,62,-0.405000001,25,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.041866954
8129,"Diaz-Balart, Mario",20316,111,2009,FL,25,0,0,2002,0,53,0.437000006,25,0,0,0,0,1,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.083733909
8130,"Diaz-Balart, Lincoln",29336,111,2009,FL,21,0,0,1992,0,58,0.547999978,25,0,0,0,1,0,9,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0.378259033
8131,"Dicks, Norman",14413,111,2009,WA,6,1,1,1976,0,67,-0.289999992,9,0,0,1,1,0,17,0,0,1,1,1,1,1,4,1,1,1,1,0,0,0,0,0,2.292206764
8132,"Dingell, John",2605,111,2009,MI,15,1,1,1955,0,71,-0.414000005,15,0,0,0,0,0,28,0,0,3,1,3,3,2,13,2,2,0,0,1,1,1,1,1,4.033370018
8133,"Djou, Charles",20961,111,2009,HI,1,0,0,2010,0,39,0.231000006,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0.089316174
8134,"Doggett, Lloyd",29571,111,2009,TX,25,1,1,1994,0,66,-0.430000007,32,0,0,0,1,1,8,0,0,0,0,0,0,0,15,1,3,3,1,0,0,0,0,0,1.409895539
8135,"Donnelly, Joe",20717,111,2009,IN,2,1,1,2006,0,67,-0.108000003,9,0,0,0,0,0,2,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0.398177892
8136,"Doyle, Michael",29561,111,2009,PA,14,1,1,1994,0,91,-0.381000012,19,0,0,0,0,0,8,0,0,0,0,0,0,0,8,2,3,3,1,0,0,0,0,0,1.427561045
8137,"Dreier, David",14813,111,2009,CA,26,0,0,1980,0,53,0.595000029,53,0,0,0,1,0,15,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.083733909
8138,"Driehaus, Steve",20939,111,2009,OH,1,1,1,2008,0,52,-0.162,18,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,2,2,0,1,0,0,0,0,0.708150148
8139,"Duncan, John",15455,111,2009,TN,2,0,0,1988,0,78,0.925999999,9,0,0,0,0,0,11,0,0,0,0,0,0,0,8,1,2,2,0,2,0,1,1,0,0.743425965
8140,"Edwards, Chet",29144,111,2009,TX,17,1,1,1990,0,53,-0.216999993,32,0,0,1,1,0,10,0,0,2,2,2,2,1,8,1,2,2,0,0,0,0,0,0,2.914654493
8141,"Edwards, Donna",20763,111,2009,MD,4,1,1,2008,1,86,-0.550999999,8,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0.100480698
8142,"Ehlers, Vernon",29362,111,2009,MI,3,0,0,1993,0,61,0.75,15,0,0,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.139556527
8143,"Ellison, Keith",20727,111,2009,MN,5,1,1,2006,0,71,-0.563000023,8,0,0,0,0,0,2,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0.376802593
8144,"Ellsworth, Brad",20718,111,2009,IN,8,1,1,2006,0,65,-0.114,9,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1,2,2,0,0,0,0,0,0,0.747226
8145,"Emerson, Jo",29736,111,2009,MO,8,0,0,1996,1,71,0.404000014,9,0,0,0,1,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0.069778264
8146,"Engel, Eliot",15603,111,2009,NY,17,1,1,1988,0,80,-0.342999995,29,0,0,1,0,0,11,0,0,0,0,0,0,0,28,5,5,5,1,0,0,0,0,0,2.517142296
